9197755,0202647,0.00179589017440856
9197755,0228389,0.000179589017440857
9197755,1014690,0.000518045242617855
9197755,P0001030,1.02037644620964
9197755,1614528,0.0283198065964428
9197779,0225047,0.0740512083300956
9197779,0209664,0.00363664620405626
9197779,0202647,0.00181832310202813
9197779,0237376,0.000909161551014065
9197779,0207291,0.000454580775507032
9197779,0226353,0.000909161551014065
9197779,0226406,0.000454580775507032
9197779,0201738,0.00181832310202813
9197779,0237360,0.000909161551014065
9197779,0228969,0.000909161551014065
9197779,0209627,0.000454580775507032
9197779,0209629,0.000909161551014065
9197779,0209628,0.00181832310202813
9197779,0108060,0.000909161551014065
9197779,0206242,4.54580775507032E-05
9197779,0237375,0.000454580775507032
9197779,0237374,0.000454580775507032
9197779,1014690,0.000543942808299013
9197779,1509722,1.02035900225348
9197779,1614528,0.02836273214702
9197783,P0001069,0.157103192966219
9197783,1716351,1.06830643897854
9197783,P0000271,1.05182785747339
9197783,1822168,1.115070183557
9197783,1822169,1.115070183557
9197783,1014693,1.115070183557
9197783,1611503,0.0657103192966219
9197879,7010452,0.250283058220607
9197879,1037180,1
9197879,1822166,1.06000834276861
9197879,1822167,1.06000834276861
9197879,1716354,1
9197879,1014693,1.02002264465765
9197879,1611505,0.0625111733508134
9197880,7010452,0.063
9197880,1036096,1.04533333333333
9197880,1822172,1.09093333333333
9197880,1822173,1.09093333333333
9197880,1716330,1.04533333333333
9197880,P0000261,1
9197882,P0001037,0.155607048278672
9197882,1716351,1.05199633326543
9197882,P0000271,1.05199633326543
9197882,P0001232,1.11509472397637
9197882,P0001233,1.11509472397637
9197882,1014693,1.11509472397637
9197882,1611503,0.0657465878997759
9197883,P0001037,0.0673165895571712
9197883,P0001234,1.05194976867151
9197883,1611508,0.0657633840052875
9197885,1716354,1
9197885,1037180,1
9197885,1822193,1.06000834276861
9197885,1822194,1.06000834276861
9197885,1611505,0.0625111733508134
9197885,1014693,1.02002264465765
9197885,7010453,0.250283058220607
9199201,1718375,1.05002987669075
9199201,1508037,1.00499755554348
9199201,1617532,0.0625237655494595
9199201,7010537,0.0553261991417242
9199202,1718374,1.05557716889902
9199202,1508034,1.00500194520091
9199202,1617532,0.0625243150113933
9199202,7010534,0.0566053465236481
9199204,1718376,1.04999164019395
9199204,1508036,1.00496015159115
9199204,1617532,0.0624756172323469
9199204,7010536,0.0567630830964722
9199206,7010519,0.0551643828196934
9199206,1718372,1.04999187564318
9199206,1508040,1.00498293885067
9199206,P0000477,0.0833559009911715
9199206,1405988,1
9199207,7010521,0.0551643828196934
9199207,P0000477,0.0833559009911715
9199207,1718369,1.04999187564318
9199207,1508041,0.100471212695662
9199207,1405988,1
9990421,P0001048,0.00579213809192721
9990421,0564154,0.00137908049807791
9990421,1611661,0.0106304121726839
9990425,0564150,0.0013810009761292
9990425,1611661,0.010626497470938
9990425,P0000714,0.00559055816842666
9990426,0225047,0.0156138289934375
9990426,0209664,0.00119386993705397
9990426,0202647,0.000198978322842329
9990426,0228394,1.98978322842329E-05
9990426,0200321,2.58671819695027E-05
9990426,0200371,0.000397956645684658
9990426,0213500,0.00198978322842329
9990426,0214243,0.000258671819695027
9990426,0214820,0.000198978322842329
9990426,P0000937,0.000516578338148354
9990426,1617532,0.0101976390456694
9991112,P0001062,0.0115875580231182
9991112,0564140,0.00136524984072085
