16700059;16700652;0.000313333333333333
16700059;16700613;0.0105
16700060;16700582;0.052
16700060;16700622;0.0728
16700060;16700581;0.364
16700060;16700592;0.00312
16700060;16700621;0.0052
16700060;16700651;0.00416
16700060;16700589;0.0052
16700060;16700656;0.00104
16700060;16700652;0.000313333333333333
16700060;16700664;0.00208
16700060;16700617;0.0312
16700060;16700609;0.00052
16700060;16700660;0.00208
16700060;16700593;0.0312
16700060;16700649;0.00312
16700060;16700618;0.0312
16700060;16700611;0.0208
16700060;16700616;0.0208
16700061;16700665;0.06
16700061;16700666;0.15
16700061;16700667;0.02
16700061;16700564;0.01
16700061;16700669;0.01
16700061;16700670;0.0526
16700061;16700671;0.07
16700061;16700565;0.1
16700061;16700655;0.01
16700061;16700672;0.004
16700062;16700673;0.01352
16700062;16700598;0.00104
16700062;16700602;0.0052
16700062;16700564;0.0208
16700062;16700653;0.00104
16700062;16700674;0.0052
16700062;16700670;0.0728
16700062;16700675;0.052
16700062;16700568;0.00312
16700062;16700676;0.00104
16700062;16700677;0.000626666666666667
16700063;16700573;0.001
16700063;16700644;0.04
16700063;16700678;0.02
16700063;16700679;0.005
16700063;16700680;0.004
16700063;16700681;0.02
16700063;16700640;0.01
16700063;16700682;0.08
16700063;16700683;0.06
16700063;16700684;0.09
16700063;16700685;0.02
16700063;16700630;0.001
16700063;16700686;0.003
16700063;16700687;0.001
16700063;16700634;0.002
16700063;16700604;0.001
16700063;16700635;0.03
16700063;16700688;0.05
16700063;16700689;0.04
16700063;16700690;0.14
16700063;16700564;0.00011
16700063;16700691;0.035
16700063;16700692;0.04
16700064;16700573;0.001
16700064;16700644;0.04
16700064;16700678;0.02
16700064;16700679;0.005
16700064;16700680;0.004
16700064;16700681;0.02
16700064;16700640;0.01
16700064;16700682;0.08
16700064;16700683;0.06
16700064;16700684;0.09
16700064;16700685;0.02
16700064;16700630;0.001
16700064;16700686;0.003
16700064;16700687;0.001
16700064;16700634;0.002
16700064;16700604;0.001
16700064;16700635;0.03
16700064;16700688;0.05
16700064;16700689;0.04
16700064;16700690;0.14
16700064;16700564;0.0005
16700064;16700692;0.04
16700065;16700573;0.001
16700065;16700644;0.03
16700065;16700678;0.02
16700065;16700679;0.005
16700065;16700680;0.004
16700065;16700681;0.02
16700065;16700640;0.01
16700065;16700682;0.08
16700065;16700683;0.06
16700065;16700684;0.09
16700065;16700685;0.02
16700065;16700630;0.001
16700065;16700686;0.003
16700065;16700687;0.001
16700065;16700634;0.002
16700065;16700604;0.001
16700065;16700635;0.03
16700065;16700688;0.05
16700065;16700689;0.03
16700065;16700690;0.08
16700065;16700564;0.00014
16700065;16700691;0.035
16700065;16700692;0.04
16700066;16700573;0.001
16700066;16700644;0.03
16700066;16700678;0.02
16700066;16700679;0.005
16700066;16700680;0.004
16700066;16700681;0.02
16700066;16700640;0.01
16700066;16700682;0.08
16700066;16700683;0.06
16700066;16700684;0.09
16700066;16700685;0.02
16700066;16700630;0.001
16700066;16700686;0.003
16700066;16700687;0.001
16700066;16700634;0.002
16700066;16700604;0.001
16700066;16700635;0.03
16700066;16700688;0.05
16700066;16700689;0.03
16700066;16700690;0.08
16700066;16700564;0.0005
16700066;16700692;0.04
16700067;16700565;0.05
16700067;16700693;0.05
16700067;16700694;0.03
16700067;16700695;0.03
16700067;16700696;0.0485
16700067;16700697;0.005
16700067;16700592;0.01
16700067;16700604;0.002
16700067;16700698;0.1
16700067;16700699;0.07
16700067;16700700;0.08
16700067;16700701;0.005
16700067;16700702;0.011
16700067;16700703;0.03
16700067;16700704;0.01
16700068;16700705;0.1
16700068;16700630;0.0015
16700068;16700706;0.001
16700068;16700707;0.01
16700068;16700565;0.03
16700068;16700708;0.05
16700068;16700674;0.005
16700068;16700598;0.0005
16700068;16700599;0.003
16700068;16700709;0.002
16700068;16700568;0.0035
16700068;16700611;0.01
16700068;16700649;0.002
16700068;16700596;0.015
16700068;16700710;0.1
16700068;16700711;0.035
16700068;16700712;0.1
16700069;16700714;1
16700069;16700715;0.0644613546317842
16700069;16700307;0.066033582793535
16700069;16700714;1.05197294498667
16700069;16700715;0.0657428011192139
16700069;16700307;0.0673180726607768
16700070;16700307;0.155607048278672
16700070;16700716;1.05199633326543
16700070;16700717;1.11509472397637
16700070;16700718;1.11509472397637
16700070;16700719;1.05199633326543
16700070;16700720;1.11509472397637
16700070;16700721;0.0657465878997759
16700071;16700307;0.2659500391679
16700071;16700722;1.05196274697537
